microsite id,site,latitude,longitude,location,region,country,logger type,zone,tidal height (m),substrate,wave exposure,start date,end date,,,,,
BMRMMXBCPM3,MXBCPM,31.861389,-116.667778,Punta Morro,Baja,Mexico,8cm epoxy robomussel,High,N/A,Rocky,exposed,6/7/2008,3/6/2009,,,,,
BMRMNZAKAW186,NZAKAW,-36.917,174.4500333,Anawhata,Auckland,New Zealand,8cm epoxy robomussel,Low,N/A,Rocky,exposed,2/2/2006,2/24/2008,,,,,
BMRMNZAKAW187,NZAKAW,-36.917,174.4500333,Anawhata,Auckland,New Zealand,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,1/13/2008,2/24/2008,,,,,
BMRMNZAKAW189,NZAKAW,-36.917,174.4500333,Anawhata,Auckland,New Zealand,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,1/13/2008,2/24/2008,,,,,
BMRMNZAKAW190,NZAKAW,-36.917,174.4500333,Anawhata,Auckland,New Zealand,8cm epoxy robomussel,High,N/A,Rocky,exposed,2/2/2006,12/5/2006,,,,,
BMRMNZAKPK307,NZAKPK,-36.2598,174.7530667,Pakiri,Auckland,New Zealand,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,1/31/2008,2/27/2008,,,,,
BMRMNZAKPK308,NZAKPK,-36.2598,174.7530667,Pakiri,Auckland,New Zealand,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,1/31/2008,2/27/2008,,,,,
BMRMNZAKPK309,NZAKPK,-36.2598,174.7530667,Pakiri,Auckland,New Zealand,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,1/31/2006,12/5/2006,,,,,
BMRMNZCBBT1,NZCBBT,-43.3506,172.79015,Box Thumb,Cantebury,New Zealand,8cm epoxy robomussel,High,N/A,Rocky,exposed,10/24/2007,8/17/2008,,,,,
BMRMNZCBBT2,NZCBBT,-43.3506,172.79015,Box Thumb,Cantebury,New Zealand,8cm epoxy robomussel,High,N/A,Rocky,exposed,10/24/2007,8/17/2008,,,,,
BMRMNZCBBT4,NZCBBT,-43.3506,172.79015,Box Thumb,Cantebury,New Zealand,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,10/24/2007,8/17/2008,,,,,
BMRMNZCBBT6,NZCBBT,-43.3506,172.79015,Box Thumb,Cantebury,New Zealand,8cm epoxy robomussel,Low,N/A,Rocky,exposed,3/22/2006,2/22/2007,,,,,
BMRMNZCMWW315,NZCMWW,-36.77893333,175.7486,Whau Whau Beach,Coromandel,New Zealand,8cm epoxy robomussel,High,N/A,Rocky,exposed,2/1/2006,12/5/2006,,,,,
BMRMNZNLEB304,NZNLEB,-35.11476667,173.9604333,Elliots Beach,Northland,New Zealand,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,2/2/2006,12/5/2006,,,,,
